Sample	Total Bases	Read Count	GC (%)	AT (%)	Q20 (%)	Q30 (%)	species	island
38	5848913444	23302444	43.33	56.67	92.54	88.13	culicoide	corse
A3C	7074742726	28186226	41.93	58.07	92.71	88.40	culicoide	corse
B2C	8981659002	35783502	42.61	57.39	92.28	87.78	culicoide	corse
C2S	6624251942	26391442	39.64	60.36	91.76	86.92	culicoide	Sardaigne
C4S	7772484072	30966072	39.21	60.79	91.98	87.34	culicoide	Sardaigne
C3S	5605956990	22334490	39.22	60.78	91.99	87.37	culicoide	Sardaigne
C7S	11595454530	46197030	40.09	59.91	91.74	86.95	culicoide	Sardaigne
K2C	5237138092	20865092	40.66	59.34	91.60	86.74	culicoide	corse
A3	4304122398	17147898	51.71	48.29	86.09	78.39	mouton	Corse
C3	3137568272	12500272	53.36	46.64	83.94	75.13	mouton	Corse
G3	4107332876	16363876	48.22	51.78	87.12	80.04	mouton	Corse
F4	4689085616	18681616	49.51	50.49	87.61	80.66	mouton	Corse
G4	3408656806	13580306	48.41	51.59	87.16	80.07	mouton	Corse
I3	5014482016	19978016	51.33	48.67	87.03	79.70	mouton	Corse
J3	3416607482	13611982	51.15	48.85	88.08	81.27	mouton	Corse
N3	3014165628	12008628	50.26	49.74	84.92	76.79	mouton	Corse
O3	4538942938	18083438	51.69	48.31	87.65	80.62	mouton	Corse
S1	5647938246	22501746	51.89	48.11	83.57	74.58	mouton	Sardaigne
D1	4008996598	15972098	43.63	56.37	89.88	84.46	vache	Corse
D2	6827243674	27200174	43.48	56.52	91.36	86.66	vache	Corse
D4	2303544970	9177470	47.49	52.51	90.17	84.34	vache	Corse
H1	4629332054	18443554	51.87	48.13	89.02	82.38	vache	Corse
H1A	1846922256	7358256	49.98	50.02	87.79	80.75	vache	Corse
J4	5755915434	22931934	48.12	51.88	87.33	80.09	vache	Corse
TE_S	61781140	246140	49.53	50.47	67.61	54.84	temoin	temoin
